PLT_CN,INVYR,state,v4_total,v4_class
15666672020004,2013,ME,1,Not LSOG
15666673020004,2013,ME,2,Not LSOG
15666674020004,2013,ME,2,Not LSOG
15666675020004,2013,ME,1,Not LSOG
15666676020004,2013,ME,3,Not LSOG
15666677020004,2013,ME,1,Not LSOG
15666679020004,2013,ME,0,Not LSOG
15666680020004,2013,ME,2,Not LSOG
15666681020004,2013,ME,0,Not LSOG
15666682020004,2013,ME,0,Not LSOG
15666683020004,2013,ME,1,Not LSOG
15666684020004,2013,ME,3,Not LSOG
15666685020004,2013,ME,2,Not LSOG
15666686020004,2013,ME,3,Not LSOG
15666687020004,2013,ME,1,Not LSOG
15666688020004,2013,ME,0,Not LSOG
15666689020004,2013,ME,2,Not LSOG
15666690020004,2013,ME,0,Not LSOG
15666691020004,2013,ME,1,Not LSOG
15666692020004,2013,ME,0,Not LSOG
15666694020004,2013,ME,2,Not LSOG
15666695020004,2013,ME,0,Not LSOG
15666696020004,2013,ME,0,Not LSOG
15666697020004,2013,ME,0,Not LSOG
15666698020004,2013,ME,2,Not LSOG
15666699020004,2013,ME,0,Not LSOG
15666700020004,2013,ME,0,Not LSOG
15666701020004,2013,ME,1,Not LSOG
15666702020004,2013,ME,3,Not LSOG
15666703020004,2013,ME,5,Transitioning LS
15666704020004,2013,ME,2,Not LSOG
15666705020004,2013,ME,3,Not LSOG
15666706020004,2013,ME,3,Not LSOG
15666707020004,2013,ME,3,Not LSOG
15666708020004,2013,ME,6,LS
15666709020004,2013,ME,2,Not LSOG
15666710020004,2013,ME,2,Not LSOG
15666711020004,2013,ME,2,Not LSOG
15666712020004,2013,ME,0,Not LSOG
15666713020004,2013,ME,3,Not LSOG
15666714020004,2013,ME,0,Not LSOG
15666716020004,2013,ME,2,Not LSOG
15666717020004,2013,ME,0,Not LSOG
15666718020004,2013,ME,0,Not LSOG
15666719020004,2013,ME,2,Not LSOG
15666720020004,2013,ME,1,Not LSOG
15666721020004,2013,ME,1,Not LSOG
15666722020004,2013,ME,1,Not LSOG
15666723020004,2013,ME,0,Not LSOG
15666724020004,2013,ME,0,Not LSOG
15666725020004,2013,ME,1,Not LSOG
15666726020004,2013,ME,1,Not LSOG
15666727020004,2013,ME,2,Not LSOG
15666728020004,2013,ME,3,Not LSOG
15666729020004,2013,ME,0,Not LSOG
15666730020004,2013,ME,0,Not LSOG
15666732020004,2013,ME,0,Not LSOG
15666733020004,2013,ME,4,Transitioning LS
15666734020004,2013,ME,5,Transitioning LS
15666735020004,2013,ME,5,Transitioning LS
15666736020004,2013,ME,2,Not LSOG
15666737020004,2013,ME,3,Not LSOG
15666738020004,2013,ME,2,Not LSOG
15666739020004,2013,ME,0,Not LSOG
15666740020004,2013,ME,2,Not LSOG
15666741020004,2013,ME,2,Not LSOG
15666742020004,2013,ME,1,Not LSOG
15666743020004,2013,ME,2,Not LSOG
15666744020004,2013,ME,3,Not LSOG
15666745020004,2013,ME,4,Transitioning LS
15666746020004,2013,ME,4,Transitioning LS
15666747020004,2013,ME,1,Not LSOG
15666748020004,2013,ME,1,Not LSOG
15666749020004,2013,ME,2,Not LSOG
15666750020004,2013,ME,0,Not LSOG
15666751020004,2013,ME,3,Not LSOG
15666752020004,2013,ME,4,Transitioning LS
15666753020004,2013,ME,4,Transitioning LS
15666754020004,2013,ME,2,Not LSOG
15666755020004,2013,ME,2,Not LSOG
15666756020004,2013,ME,0,Not LSOG
15666758020004,2013,ME,1,Not LSOG
15666759020004,2013,ME,2,Not LSOG
15666761020004,2013,ME,4,Transitioning LS
15666762020004,2013,ME,0,Not LSOG
15666764020004,2013,ME,0,Not LSOG
15666765020004,2013,ME,0,Not LSOG
15666767020004,2013,ME,3,Not LSOG
15666769020004,2013,ME,2,Not LSOG
15666770020004,2013,ME,2,Not LSOG
15666771020004,2013,ME,4,Transitioning LS
15666772020004,2013,ME,0,Not LSOG
15666773020004,2013,ME,1,Not LSOG
15666774020004,2013,ME,1,Not LSOG
15666775020004,2013,ME,1,Not LSOG
15666777020004,2013,ME,0,Not LSOG
15666778020004,2013,ME,1,Not LSOG
15666779020004,2013,ME,0,Not LSOG
15666780020004,2013,ME,4,Transitioning LS
15666781020004,2013,ME,2,Not LSOG
15666782020004,2013,ME,1,Not LSOG
15666783020004,2013,ME,2,Not LSOG
15666784020004,2013,ME,0,Not LSOG
15666785020004,2013,ME,0,Not LSOG
15666786020004,2013,ME,1,Not LSOG
15666787020004,2013,ME,2,Not LSOG
15666788020004,2013,ME,0,Not LSOG
15666789020004,2013,ME,0,Not LSOG
15666791020004,2013,ME,0,Not LSOG
15666792020004,2013,ME,0,Not LSOG
15666793020004,2013,ME,1,Not LSOG
15666794020004,2013,ME,2,Not LSOG
15666795020004,2013,ME,3,Not LSOG
15666796020004,2013,ME,4,Transitioning LS
15666797020004,2013,ME,1,Not LSOG
15666798020004,2013,ME,1,Not LSOG
15666800020004,2013,ME,1,Not LSOG
15666801020004,2013,ME,0,Not LSOG
15666802020004,2013,ME,1,Not LSOG
15666803020004,2013,ME,1,Not LSOG
15666804020004,2013,ME,2,Not LSOG
15666805020004,2013,ME,4,Transitioning LS
15666806020004,2013,ME,4,Transitioning LS
15666807020004,2013,ME,1,Not LSOG
15666808020004,2013,ME,1,Not LSOG
15666809020004,2013,ME,1,Not LSOG
15666810020004,2013,ME,2,Not LSOG
15666811020004,2013,ME,0,Not LSOG
15666813020004,2013,ME,2,Not LSOG
15666814020004,2013,ME,3,Not LSOG
15666816020004,2013,ME,0,Not LSOG
15666817020004,2013,ME,3,Not LSOG
15666818020004,2013,ME,0,Not LSOG
15666821020004,2013,ME,1,Not LSOG
15666822020004,2013,ME,3,Not LSOG
15666823020004,2013,ME,1,Not LSOG
15666824020004,2013,ME,1,Not LSOG
15666825020004,2013,ME,1,Not LSOG
15666826020004,2013,ME,0,Not LSOG
15666827020004,2013,ME,0,Not LSOG
15666828020004,2013,ME,2,Not LSOG
15666829020004,2013,ME,1,Not LSOG
15666830020004,2013,ME,3,Not LSOG
15666831020004,2013,ME,2,Not LSOG
15666832020004,2013,ME,0,Not LSOG
15666833020004,2013,ME,3,Not LSOG
15666834020004,2013,ME,5,Transitioning LS
15666835020004,2013,ME,3,Not LSOG
15666836020004,2013,ME,0,Not LSOG
15666837020004,2013,ME,1,Not LSOG
15666838020004,2013,ME,2,Not LSOG
15666839020004,2013,ME,1,Not LSOG
15666840020004,2013,ME,0,Not LSOG
15666841020004,2013,ME,0,Not LSOG
15666842020004,2013,ME,0,Not LSOG
15666843020004,2013,ME,2,Not LSOG
15666844020004,2013,ME,0,Not LSOG
15666845020004,2013,ME,4,Transitioning LS
15666846020004,2013,ME,4,Transitioning LS
15666847020004,2013,ME,0,Not LSOG
15666848020004,2013,ME,4,Transitioning LS
15666850020004,2013,ME,3,Not LSOG
15666851020004,2013,ME,1,Not LSOG
15666852020004,2013,ME,0,Not LSOG
15666853020004,2013,ME,1,Not LSOG
15666856020004,2013,ME,2,Not LSOG
15666858020004,2013,ME,4,Transitioning LS
15666859020004,2013,ME,0,Not LSOG
15666861020004,2013,ME,1,Not LSOG
15666863020004,2013,ME,1,Not LSOG
15666864020004,2013,ME,5,Transitioning LS
15666865020004,2013,ME,2,Not LSOG
15666866020004,2013,ME,2,Not LSOG
15666867020004,2013,ME,2,Not LSOG
15666868020004,2013,ME,2,Not LSOG
15666869020004,2013,ME,4,Transitioning LS
15666871020004,2013,ME,1,Not LSOG
15666872020004,2013,ME,3,Not LSOG
15666873020004,2013,ME,0,Not LSOG
15666874020004,2013,ME,1,Not LSOG
15666875020004,2013,ME,0,Not LSOG
15666876020004,2013,ME,2,Not LSOG
15666877020004,2013,ME,0,Not LSOG
15666878020004,2013,ME,0,Not LSOG
15666879020004,2013,ME,0,Not LSOG
15666880020004,2013,ME,0,Not LSOG
15666883020004,2013,ME,1,Not LSOG
15666884020004,2013,ME,0,Not LSOG
15666885020004,2013,ME,3,Not LSOG
15666886020004,2013,ME,2,Not LSOG
15666887020004,2013,ME,1,Not LSOG
15666890020004,2013,ME,5,Transitioning LS
15666891020004,2013,ME,3,Not LSOG
15666892020004,2013,ME,0,Not LSOG
15666893020004,2013,ME,3,Not LSOG
15666894020004,2013,ME,3,Not LSOG
15666896020004,2013,ME,1,Not LSOG
15666897020004,2013,ME,0,Not LSOG
15666898020004,2013,ME,0,Not LSOG
15666899020004,2013,ME,2,Not LSOG
15666900020004,2013,ME,0,Not LSOG
15666901020004,2013,ME,1,Not LSOG
15666902020004,2013,ME,0,Not LSOG
15666903020004,2013,ME,2,Not LSOG
15666904020004,2013,ME,4,Transitioning LS
15666905020004,2013,ME,0,Not LSOG
17890117010661,1995,ME,0,Not LSOG
17890169010661,1995,ME,0,Not LSOG
17890216010661,1995,ME,1,Not LSOG
17890265010661,1995,ME,3,Not LSOG
17890347010661,1995,ME,0,Not LSOG
17890403010661,1995,ME,0,Not LSOG
17890460010661,1995,ME,0,Not LSOG
17890503010661,1995,ME,0,Not LSOG
17890564010661,1995,ME,2,Not LSOG
17890657010661,1995,ME,1,Not LSOG
17890739010661,1995,ME,3,Not LSOG
17890801010661,1995,ME,0,Not LSOG
17890825010661,1995,ME,2,Not LSOG
17890882010661,1995,ME,0,Not LSOG
17890896010661,1995,ME,1,Not LSOG
17890968010661,1995,ME,0,Not LSOG
17891042010661,1995,ME,1,Not LSOG
17891120010661,1995,ME,0,Not LSOG
17891180010661,1995,ME,2,Not LSOG
17891289010661,1995,ME,0,Not LSOG
17891305010661,1995,ME,1,Not LSOG
17891320010661,1995,ME,0,Not LSOG
17891344010661,1995,ME,1,Not LSOG
17891449010661,1995,ME,1,Not LSOG
17891505010661,1995,ME,0,Not LSOG
17891569010661,1995,ME,2,Not LSOG
17891638010661,1995,ME,3,Not LSOG
17891682010661,1995,ME,0,Not LSOG
17891707010661,1995,ME,1,Not LSOG
17891759010661,1995,ME,0,Not LSOG
17891816010661,1995,ME,0,Not LSOG
17891819010661,1995,ME,5,Transitioning LS
17891930010661,1995,ME,5,Transitioning LS
17892040010661,1995,ME,1,Not LSOG
