state,eval_period,eval_year,n_plots,pct_trans,pct_ls,pct_og,pct_ls_og,pct_all_lsog,pct_trans_lo,pct_trans_hi,pct_ls_lo,pct_ls_hi,pct_og_lo,pct_og_hi,pct_lsog_lo,pct_lsog_hi,acres_trans,acres_ls,acres_og,acres_ls_og,acres_all_lsog,ac_trans_lo,ac_trans_hi,ac_ls_lo,ac_ls_hi,ac_og_lo,ac_og_hi,ac_lsog_lo,ac_lsog_hi,ac_all_lo,ac_all_hi,snag_thresh_1,snag_thresh_2,has_expns
VT,1999-2003,2001,122,22.950819672131146,2.459016393442623,0,2.459016393442623,25.40983606557377,15.573770491803279,30.327868852459016,0,5.737704918032787,0,0,0,5.737704918032787,1034833.7590163933,97025.23606557376,0,97025.23606557376,1131858.9950819672,702934.182909836,1372352.531106557,0,215665.8721311475,0,0,0,215665.8721311475,795153.1674180327,1476747.0209016392,30,48,FALSE
VT,2004-2008,2006,902,22.06208425720621,2.6607538802660753,0.22172949002217296,2.882483370288248,24.944567627494457,19.290465631929045,24.833702882483372,1.662971175166297,3.6613082039911156,0,0.5543237250554324,1.8847006651884701,3.9911308203991127,967287.622616408,117668.60177383592,10199.556541019956,127868.15831485589,1095155.780931264,847121.3967849225,1090417.9969068735,73045.54190687362,164841.55077605322,0,25498.89135254989,80321.50776053216,175942.35033259424,965680.52885255,1221107.6965410197,30,48,FALSE
VT,2009-2013,2011,857,28.821470245040842,3.6172695449241536,0.3500583430571762,3.9673278879813303,32.78879813302217,25.90431738623104,31.971995332555426,2.4504084014002334,4.900816802800467,0,0.8168028004667445,2.6837806301050176,5.367561260210035,1269933.3631271878,157483.5764294049,16102.683780630105,173586.26021003502,1443519.6233372227,1140040.2191540257,1406337.2680630102,106427.31131271878,212995.5498249708,0,37572.92882147024,120256.29252042006,233219.58656359385,1310897.42,1584836.7060151692,30,48,FALSE
VT,2014-2018,2016,660,35.15151515151515,5.606060606060606,0.6060606060606061,6.212121212121212,41.36363636363637,31.515151515151512,38.78787878787879,3.939393939393939,7.424242424242425,0.15151515151515152,1.2121212121212122,4.393939393939394,8.030303030303031,1531322.4712121212,245848.48454545456,27878.78787878788,273727.27242424246,1805049.7436363637,1371785.455386364,1690623.8551742423,169984.92177272728,327136.29674999986,6969.69696969697,55757.57575757576,195148.76159848485,358116.2446742424,1639775.847219697,1973734.8909772728,30,48,FALSE
VT,2019-2023,2021,657,32.115677321156774,7.4581430745814306,0.30441400304414,7.76255707762557,39.87823439878234,28.462709284627092,35.920852359208524,5.47945205479452,9.43683409436834,0,0.76103500761035,5.78386605783866,9.74124809741248,1395851.8030441399,330573.2307458143,14003.04414003044,344576.27488584473,1740428.0779299845,1236782.5797031962,1563623.9951598172,244345.92267884323,420275.37006088276,0,35007.6103500761,255544.8882115677,434738.84987062396,1568351.565692542,1910567.7186834093,30,48,FALSE
NY,1999-2003,2001,1398,13.376251788268956,2.9327610872675254,0.14306151645207438,3.0758226037195997,16.452074391988557,11.586194563662373,15.164520743919885,2.074391988555079,3.934191702432046,0,0.35765379113018597,2.2174535050071533,4.07725321888412,187,41,2,43,230,161.975,212,29,55,0,5,31,57,203,257,30,48,FALSE
NY,2004-2008,2006,2651,17.08789136175028,2.7159562429271973,0.3017729158807997,3.017729158807997,20.10562052055828,15.579026782346283,18.48359109769898,2.150132025650698,3.319502074688797,0.1131648434552999,0.5281026027913994,2.4141833270463975,3.6589966050546963,453,72,8,80,533,413,490,57,88,3,14,64,97,491.975,574,30,48,FALSE
NY,2009-2013,2011,3281,21.70070100579092,4.6327339225845785,0.365742151782993,4.998476074367571,26.69917708015849,20.329167936604694,23.163669612922888,3.9317281316671746,5.364218226150564,0.1828710758914965,0.5790917403230723,4.266991770801585,5.760438890582139,712,152,12,164,876,667,760,129,176,6,19,140,189,827,926,30,48,FALSE
NY,2014-2018,2016,2228,24.012567324955118,6.552962298025135,0.4039497307001795,6.956912028725314,30.96947935368043,22.350763016157988,25.852782764811487,5.520646319569121,7.585278276481149,0.17953321364452424,0.718132854578097,5.879712746858169,8.03411131059246,535,146,9,155,690,497.97499999999997,576,123,169,4,16,131,179,649,734,30,48,FALSE
NY,2019-2023,2021,2107,24.63217845277646,7.736117702895111,0.8542952064546749,8.590412909349785,33.222591362126245,22.781205505457997,26.435690555291885,6.597057427622212,8.922638822971049,0.47460844803037494,1.2814428096820123,7.403891789273849,9.871855719031798,519,163,18,181,700,480,557,139,188,10,27,156,208,658,743,30,48,FALSE
