LSOG_class,plotname,mean_cano_ht,max_cano_ht,percentile_95th,rumple,top_rugosity,cano_cover_2,cano_cover_6,cano_cover_15,sum_live_basalarea,sum_dead_basalarea,basal_GE_40cmDBH,prop_basal_GE_40cmDBH,No_treesGE_40cmdbh,QMD_live,CWD_vol,CV_livedbh
Trans LS,95,15.8374,30.8285,22.9832,3.9651,5.5526,0.9857,0.9185,0.6615,45.9017,5.1854,2.786,0.4414,48.5623,31.2174,72.961,44.1046
Trans LS,96,16.9073,27.537,21.4698,3.8544,4.6745,0.9632,0.937,0.8336,30.9064,4.6371,0,0,0,23.0657,101.0894,22.4695
Not LS,97,3.3799,20.5436,7.3091,2.1204,2.4212,0.7244,0.1135,0.0041,11.0179,3.5941,0,0,0,10.0848,88.9251,18.6923
Not LS,98,1.9186,16.2,6.43,1.8825,2.3511,0.3552,0.0593,0.0023,6.1294,0.1272,0,0,0,10.7155,11.4734,19.0282
Not LS,99,1.6206,18.76,5.4833,1.8673,2.1429,0.3154,0.0326,0.0023,4.9937,0,0,0,0,9.8174,49.9649,13.6657
Trans LS,BS-A,12.2165,21.88,18.7598,6.5042,5.7465,0.8701,0.8434,0.3934,27.0798,4.5994,0.3263,0.0834,8.0937,22.8617,25.5623,49.115
Trans LS,BS-B,11.9603,21.42,18.01,5.5132,5.2697,0.8899,0.8653,0.332,30.3629,0.6393,1.8463,0.482,32.3749,23.5061,13.3486,64.2154
Trans LS,BS-C,10.8668,19.16,16,4.6608,4.3063,0.9108,0.8793,0.1117,26.7138,3.1951,0.6694,0.1811,16.1874,22.7067,19.7885,53.0457
Trans LS,BS-D,11.949,19.86,17.11,5.6971,4.5691,0.9026,0.8906,0.1957,33.9428,1.8347,1.2763,0.2887,24.2812,21.0048,13.2993,50.6126
Trans LS,BS-E,12.4103,20.24,16.98,4.4145,3.8706,0.9427,0.9314,0.1912,29.0559,3.3412,0.3424,0.0855,8.0937,21.2456,41.9705,51.2405
Trans LS,BS-F,13.8331,20.93,18.8,5.8012,5.0618,0.9114,0.9008,0.5373,25.1131,5.4461,0,0,0,23.0905,79.0802,39.763
Trans LS,BS-G,12.3906,24.47,20.057,6.249,5.9731,0.8773,0.8441,0.3892,26.8929,0.5812,1.0343,0.3047,8.0937,23.5061,74.022,67.0973
Not LS,BS-H,10.3774,21.06,17.8853,5.5785,5.9441,0.8228,0.7579,0.2429,35.3645,2.2149,1.0131,0.2182,16.1874,23.4388,11.0046,55.3471
Not LS,NE-10,3.3185,12.4775,7.2033,2.8383,2.3893,0.6864,0.1345,0,15.4383,0.1005,0,0,0,13.3709,0,30.3844
Not LS,NE-11,9.2649,17.84,14.083,3.2008,4.2906,0.8847,0.778,0.0119,30.6818,0.3801,0,0,0,21.5704,7.8217,38.6978
Not LS,NE-12,8.3627,18.0477,13.45,2.9291,3.555,0.9486,0.7466,0.0121,24.5617,0.1005,0,0,0,12.9697,0,25.8132
Not LS,NE-13,11.1004,23.66,17.7828,3.7306,4.1249,0.9666,0.8978,0.1526,41.0164,1.7107,0,0,0,18.9174,2.4674,41.3776
Not LS,NE-14,0.0857,2.78,0.28,1.0227,0.1391,0.0004,0,0,0,0,0,,0,,25.2662,
Not LS,NE-15,4.8918,17.7,13.5,4.4298,5.0556,0.5487,0.406,0.0118,13.1181,0.7681,0,0,0,15.4506,4.9841,36.3222
Not LS,NE-18,7.8365,18.2718,12.8795,3.0025,3.6953,0.8889,0.7562,0.0109,41.0635,1.8693,0,0,0,14.7632,6.3165,39.716
Not LS,NE-19,5.9085,19.11,13.2582,3.4396,5.1291,0.6214,0.53,0.0164,16.1593,1.7986,0,0,0,14.2059,33.4333,31.7388
Not LS,NE-2,5.0488,15.9646,11.9655,3.5557,4.4737,0.617,0.4709,0.0006,18.9617,0.2576,0,0,0,13.6309,5.1569,34.1213
Not LS,NE-20,3.9935,17.65,12.4175,3.7233,4.648,0.482,0.3332,0.0074,15.5734,0.6111,0.393,0.1965,8.0937,15.7472,33.9514,48.4816
Not LS,NE-21,2.1916,9.9549,6.24,2.5433,2.2351,0.4787,0.0617,0,6.1656,0,0,0,0,9.6695,0,12.4083
Not LS,NE-23,2.5402,13.058,6.62,2.7253,2.2805,0.5485,0.0829,0,13.016,1.1451,0,0,0,11.8538,0,22.7908
Not LS,NE-24,10.3056,22.8425,15.0618,3.2842,3.4633,0.9602,0.8979,0.0527,39.3387,7.6265,0,0,0,22.8472,63.1408,34.0487
Not LS,NE-25,4.5161,18.2925,12.9939,3.4072,4.4338,0.6176,0.3373,0.0107,23.2894,2.2212,0.3263,0.1035,8.0937,22.2362,6.4152,41.2616
Not LS,NE-26,6.234,18.4775,14.6465,4.4249,5.2798,0.6774,0.4991,0.0379,20.5498,4.7345,0.3263,0.1044,8.0937,22.0174,6.4152,41.725
Not LS,NE-27,5.7822,15.28,11.943,4.1911,4.5432,0.6632,0.5511,0.0001,17.8935,0.699,0,0,0,16.8796,1.5791,44.0467
Not LS,NE-28,0.0715,1.7,0.22,1.0185,0.1077,0,0,0,3.038,0,0,0,0,9.5991,0,12.6955
Not LS,NE-29,3.8957,18.34,12.91,3.9915,4.7048,0.4656,0.3281,0.0115,13.3993,1.0902,0,0,0,15.8433,7.0321,46.2832
Not LS,NE-3,10.7344,19.53,15.22,5.4167,4.2762,0.8956,0.8748,0.065,27.4207,3.5988,0,0,0,15.9095,7.1308,35.8353
Not LS,NE-30,6.8777,16.75,12.641,4.6535,4.8232,0.7085,0.6452,0.0024,34.2382,0.355,0,0,0,15.2312,3.5777,35.9016
Not LS,NE-31,3.012,17.28,11.45,3.1707,4.0243,0.4191,0.2313,0.0022,26.2253,1.5551,0.3757,0.1095,8.0937,18.6545,33.2112,38.3316
Not LS,NE-35,8.6332,17.7757,13.5255,3.4168,3.3394,0.952,0.8031,0.0106,32.9469,1.0902,0,0,0,12.6085,31.0646,30.5079
Not LS,NE-36,8.6927,20.86,13.68,4.7974,4.1367,0.8689,0.8039,0.0179,25.7053,0.8765,0,0,0,16.8012,0,37.217
Not LS,NE-37,7.1553,17.34,11.45,4.651,3.2876,0.874,0.7522,0.0003,20.0016,0,0,0,0,12.8626,0,32.2333
LS,NE-38,15.1178,25.42,22.43,8.2413,7.3736,0.8653,0.8231,0.681,24.3183,1.673,1.3813,0.4301,24.2812,24.8908,20.9729,55.2922
LS,NE-39,14.5629,25.47,21.5247,6.4236,6.793,0.8853,0.8348,0.6457,37.4018,4.4848,2.0617,0.3984,32.3749,27.721,99.9791,57.4337
Not LS,NE-4,0.0825,4.87,0.23,1.0389,0.191,0.0027,0,0,3.4669,0,0,0,0,9.5919,12.9539,10.2403
Trans LS,NE-40,14.9448,24.58,21.9504,6.2015,5.8024,0.915,0.9042,0.5728,27.4034,3.2878,1.3124,0.3461,24.2812,25.4252,58.0826,52.13
LS,NE-41,14.631,25.04,20.33,7.294,6.359,0.8829,0.8464,0.6923,25.4414,8.0804,0,0,0,24.0566,0,38.452
Not LS,NE-42,0.0758,3.44,0.2,1.0167,0.1105,0.0005,0,0,0.1272,0,0,0,0,9.0023,1.5791,
Not LS,NE-43,10.9949,19.0497,15.8873,4.5063,3.8202,0.953,0.911,0.113,40.9849,0,0,0,0,22.4055,0,39.9771
Not LS,NE-44,11.672,19.05,16.2566,4.403,3.7099,0.9539,0.9336,0.1467,40.6064,1.2378,0,0,0,22.9743,5.5517,32.3027
Not LS,NE-45,4.9075,17.42,12.753,4.2538,4.2995,0.6711,0.3735,0.0068,13.6145,1.7154,0,0,0,14.543,50.6064,36.3748
Not LS,NE-46,1.4371,13.2831,6.5261,2.1376,2.2488,0.2437,0.0639,0,7.8338,0,0,0,0,13.1169,15.9641,37.3583
Not LS,NE-5,0.0392,0.8845,0.12,1.0038,0.0465,0,0,0,0,0,0,,0,,12.0656,
Trans LS,NE-50,12.9551,23.656,18.3246,3.9009,4.297,0.9688,0.9155,0.3531,24.1675,11.3179,1.4665,0.3345,24.2812,23.8768,41.0822,60.165
Not LS,NE-51,7.7599,15.23,10.7769,2.6318,1.9646,0.9861,0.8558,0.0004,33.8879,0,0,0,0,14.9944,0,30.5287
Not LS,NE-52,4.854,21.1685,13.2199,3.0144,4.8399,0.5387,0.4001,0.0223,6.6133,0,0,0,0,13.8369,52.6296,58.7007
Not LS,NE-53,5.8419,23.932,15.0651,4.4802,5.4901,0.617,0.4736,0.0521,23.0475,2.8495,0.7461,0.2332,8.0937,18.0613,19.4678,58.2846
