res,p_lsog
Forest City,0.462
Forest City,0.392
Forest City,0.365
Great Heath,0.642
Great Heath,0.213
Great Heath,0.337
Great Heath,0.472
Great Heath,0.462
Great Heath,0.213
Great Heath,0.25
Great Heath,0.365
Great Heath,0.462
Great Heath,0.365
Great Heath,0.642
Great Heath,0.392
Great Heath,0.365
Pine Barrens Sites,0.642
Pine Barrens Sites,0.462
Pine Barrens Sites,0.523
Pine Barrens Sites,0.213
Pine Barrens Sites,0.523
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Kennebec Estuary Sites,1
Kennebec Estuary Sites,0.958
Kennebec Estuary Sites,1
Kennebec Estuary Sites,0.642
Mahoosucs,0.462
Mahoosucs,0.642
Mahoosucs,0.472
Mahoosucs,0.958
Mahoosucs,0.642
Mahoosucs,0.958
Mahoosucs,1
Mahoosucs,0.213
Mahoosucs,0.948
Mahoosucs,0.948
Mahoosucs,1
Mahoosucs,1
Mahoosucs,0.42
Mahoosucs,0.472
Mahoosucs,0.472
Mahoosucs,0.25
Mahoosucs,0.212
Mahoosucs,0.312
Mahoosucs,1
Mahoosucs,1
Mahoosucs,0.472
Mahoosucs,0.948
Mahoosucs,1
Mahoosucs,1
Mahoosucs,1
Mahoosucs,0.213
Mahoosucs,1
Mahoosucs,0.42
Mahoosucs,1
Mt. Abraham,0.523
Mt. Abraham,0.642
Mt. Abraham,0.462
Mt. Agamenticus,1
Mt. Agamenticus,1
Mt. Agamenticus,1
Mt. Agamenticus,0.462
Mt. Agamenticus,0.642
Mt. Agamenticus,0.462
Mt. Agamenticus,1
Mt. Agamenticus,1
Nahmakanta,1
Nahmakanta,0.392
Nahmakanta,0.392
Nahmakanta,1
Nahmakanta,0.392
Nahmakanta,1
Nahmakanta,0.392
Nahmakanta,0.472
Nahmakanta,0.337
Nahmakanta,0.392
Nahmakanta,0.462
Nahmakanta,0.642
Nahmakanta,0.275
Nahmakanta,0.25
Nahmakanta,0.312
Nahmakanta,1
Nahmakanta,1
Nahmakanta,1
Nahmakanta,1
Nahmakanta,0.642
Nahmakanta,0.137
Nahmakanta,0.642
Nahmakanta,0.398
Nahmakanta,0.338
Nahmakanta,0.365
Nahmakanta,0.537
Nahmakanta,0.407
Nahmakanta,1
Nahmakanta,0.02
Nahmakanta,0.392
Nahmakanta,0.365
Nahmakanta,0.642
Nahmakanta,0.462
Nahmakanta,0.642
Nahmakanta,0.392
Nahmakanta,0.462
Nahmakanta,0.642
Nahmakanta,1
Nahmakanta,1
Nahmakanta,0.472
Nahmakanta,0.365
Nahmakanta,0.472
Nahmakanta,0.392
Nahmakanta,0.392
Nahmakanta,0.642
Nahmakanta,0.365
Nahmakanta,0.462
Nahmakanta,0.523
Nahmakanta,0.392
Nahmakanta,0.462
Narraguagus,0.462
Narraguagus,0.472
Narraguagus,0.462
Narraguagus,0.213
Narraguagus,0.337
Number 5 Bog,0.215
Number 5 Bog,0.215
Number 5 Bog,0.523
Number 5 Bog,0.365
Number 5 Bog,0.293
Number 5 Bog,0.42
Number 5 Bog,0.472
Number 5 Bog,0.523
Number 5 Bog,0.472
Number 5 Bog,0.365
Number 5 Bog,0.462
Number 5 Bog,0.365
