CN,eval_period,LAT,LON,STDAGE,v4_class,v5_class,v5_total,potapov_rh95,hagan_value
171137592020004,2014-2018,43.50531,-70.66323,50,Not LSOG,Not LSOG,1,19,-1
171137593020004,2014-2018,43.71061,-70.81737,25,Not LSOG,Not LSOG,1,19,-1
171137594020004,2014-2018,43.43493,-70.7151,52,Transitioning LS,Not LSOG,4,13,-1
171137595020004,2014-2018,43.54579,-70.84187,57,Not LSOG,Not LSOG,1,17,-1
171137596020004,2014-2018,43.52978,-70.91152,63,Not LSOG,Not LSOG,1,3,-1
171137597020004,2014-2018,43.3649,-70.75878,100,Not LSOG,Not LSOG,2,21,-1
171137598020004,2014-2018,43.28716,-70.81988,55,Not LSOG,Not LSOG,2,20,-1
171137599020004,2014-2018,45.54182,-69.01189,35,Not LSOG,Not LSOG,1,22,15
171137600020004,2014-2018,45.62444,-69.15111,46,Transitioning LS,Not LSOG,4,15,15
171137601020004,2014-2018,45.58707,-69.20221,25,Not LSOG,Not LSOG,1,7,15
171137602020004,2014-2018,45.47299,-69.07309,52,Not LSOG,Not LSOG,2,13,15
171137603020004,2014-2018,45.28316,-69.25412,70,Not LSOG,Not LSOG,4,21,15
171137604020004,2014-2018,45.50276,-69.22726,35,Not LSOG,Not LSOG,1,18,15
171137605020004,2014-2018,45.34045,-69.17598,98,Transitioning LS,Transitioning LS,5,9,15
171137606020004,2014-2018,45.51996,-69.30073,35,Not LSOG,Not LSOG,3,19,15
171137607020004,2014-2018,45.41257,-69.27837,40,Not LSOG,Not LSOG,2,11,15
171137608020004,2014-2018,45.37153,-69.35662,55,Not LSOG,Not LSOG,1,17,15
171137609020004,2014-2018,45.25597,-69.2544,35,Not LSOG,Not LSOG,1,15,15
171137610020004,2014-2018,45.17945,-69.29082,60,Not LSOG,Not LSOG,2,12,15
171137611020004,2014-2018,45.27763,-69.41725,104,LS,Transitioning LS,6,14,15
171137612020004,2014-2018,45.23498,-69.49242,31,Not LSOG,Not LSOG,0,15,15
171137613020004,2014-2018,45.14241,-69.49943,58,Not LSOG,Not LSOG,2,15,15
171137615020004,2014-2018,46.26196,-67.99806,93,Not LSOG,Not LSOG,4,19,15
171137616020004,2014-2018,45.99459,-67.84537,40,Not LSOG,Not LSOG,0,17,-1
171137618020004,2014-2018,46.03014,-67.99657,50,Not LSOG,Not LSOG,2,8,15
171137619020004,2014-2018,45.96682,-68.04375,94,Not LSOG,Not LSOG,2,15,15
171137620020004,2014-2018,46.0537,-68.17363,76,Transitioning LS,Transitioning LS,5,19,15
171137621020004,2014-2018,45.86872,-68.17836,32,Not LSOG,Not LSOG,0,4,15
171137622020004,2014-2018,45.79221,-67.99894,31,Not LSOG,Not LSOG,2,17,15
171137623020004,2014-2018,45.73761,-68.05742,125,Transitioning LS,Transitioning LS,5,18,15
171137624020004,2014-2018,45.81336,-68.16958,75,Not LSOG,Not LSOG,0,12,15
171137625020004,2014-2018,45.73563,-68.22397,19,Not LSOG,Not LSOG,3,22,15
171137626020004,2014-2018,45.84593,-68.3317,73,Not LSOG,Not LSOG,2,18,15
171137627020004,2014-2018,44.3315,-69.12525,109,Not LSOG,Not LSOG,4,21,-1
171137628020004,2014-2018,44.42173,-69.13169,53,Not LSOG,Not LSOG,2,NA,-1
171137630020004,2014-2018,44.12427,-69.16975,56,Not LSOG,Not LSOG,3,20,-1
171137631020004,2014-2018,44.07625,-69.0576,91,Transitioning LS,Transitioning LS,6,21,-1
171137633020004,2014-2018,44.10074,-69.2383,65,Not LSOG,Not LSOG,3,5,-1
171137634020004,2014-2018,44.05677,-69.23601,50,Not LSOG,Not LSOG,3,19,-1
171137635020004,2014-2018,43.98818,-69.51656,40,Not LSOG,Not LSOG,0,15,-1
171137636020004,2014-2018,44.92615,-67.77464,88,Transitioning LS,Not LSOG,4,5,-1
171137637020004,2014-2018,45.01112,-67.91339,73,Not LSOG,Not LSOG,0,6,-1
171137638020004,2014-2018,46.55121,-67.79527,24,Not LSOG,Not LSOG,0,8,-1
171137641020004,2014-2018,46.21535,-67.98039,25,Not LSOG,Not LSOG,0,15,15
171137642020004,2014-2018,46.48788,-67.9661,58,Not LSOG,Not LSOG,0,3,15
171137643020004,2014-2018,46.36405,-67.86238,20,Not LSOG,Not LSOG,0,17,-1
171137644020004,2014-2018,46.35211,-68.12046,23,Not LSOG,Not LSOG,1,11,15
171137645020004,2014-2018,46.1907,-68.04927,83,Not LSOG,Not LSOG,2,0,15
171137646020004,2014-2018,46.12074,-68.11501,34,Not LSOG,Not LSOG,2,0,15
171137647020004,2014-2018,46.26756,-68.33864,37,Not LSOG,Not LSOG,2,6,15
171137648020004,2014-2018,46.14429,-68.16435,74,Not LSOG,Not LSOG,1,16,15
171137649020004,2014-2018,45.75766,-67.83538,59,Not LSOG,Not LSOG,3,18,-1
171137650020004,2014-2018,45.84685,-67.92282,73,Not LSOG,Not LSOG,2,18,15
171137651020004,2014-2018,45.72897,-67.83048,38,Not LSOG,Not LSOG,1,15,-1
171137652020004,2014-2018,45.6946,-67.85877,22,Not LSOG,Not LSOG,0,16,-1
171137655020004,2014-2018,45.53197,-67.9556,77,Not LSOG,Not LSOG,3,16,15
171137656020004,2014-2018,45.49019,-68.06919,65,Not LSOG,Not LSOG,1,16,15
171137657020004,2014-2018,44.86221,-68.47808,55,Not LSOG,Not LSOG,1,15,15
171137658020004,2014-2018,44.54882,-68.47232,71,Not LSOG,Not LSOG,2,13,-1
171137659020004,2014-2018,44.68255,-68.73187,68,Not LSOG,Not LSOG,2,18,-1
171137660020004,2014-2018,44.39909,-68.57862,100,Transitioning LS,Not LSOG,4,12,-1
171137662020004,2014-2018,44.46481,-69.15438,38,Not LSOG,Not LSOG,1,23,-1
171137663020004,2014-2018,44.61915,-69.23531,60,Not LSOG,Not LSOG,1,19,-1
171137664020004,2014-2018,44.55956,-69.2493,38,Not LSOG,Not LSOG,3,17,-1
171137665020004,2014-2018,44.27866,-69.28741,30,Not LSOG,Not LSOG,0,17,-1
171137666020004,2014-2018,44.38044,-69.36018,81,Transitioning LS,Not LSOG,4,14,-1
171137667020004,2014-2018,44.37813,-69.59376,58,Not LSOG,Not LSOG,3,6,-1
171137669020004,2014-2018,44.11048,-69.42583,92,Transitioning LS,Not LSOG,4,NA,-1
171137670020004,2014-2018,44.05184,-69.46112,70,Not LSOG,Not LSOG,4,22,-1
171137671020004,2014-2018,44.1483,-69.59167,68,Not LSOG,Not LSOG,2,3,-1
171137672020004,2014-2018,43.99969,-69.69451,91,Transitioning LS,Transitioning LS,5,16,-1
171137673020004,2014-2018,44.02442,-69.63737,82,Transitioning LS,Transitioning LS,5,5,-1
171137675020004,2014-2018,43.93328,-69.76058,57,Not LSOG,Not LSOG,3,19,-1
171137676020004,2014-2018,43.8629,-69.78851,87,Not LSOG,Not LSOG,3,18,-1
171137677020004,2014-2018,43.9567,-69.94797,67,Not LSOG,Not LSOG,3,18,-1
171137678020004,2014-2018,43.74487,-69.86716,94,LS,Transitioning LS,6,17,-1
171137680020004,2014-2018,45.60044,-68.18605,126,LS,Transitioning LS,6,16,15
171137681020004,2014-2018,45.52283,-68.23083,120,Not LSOG,Not LSOG,3,12,15
171137682020004,2014-2018,45.59761,-68.3375,38,Not LSOG,Not LSOG,2,19,15
171137683020004,2014-2018,45.54666,-68.39389,42,Not LSOG,Not LSOG,2,10,15
171137684020004,2014-2018,45.63625,-68.52776,100,Transitioning LS,Not LSOG,4,17,15
171137685020004,2014-2018,45.47432,-68.47343,65,Not LSOG,Not LSOG,2,17,15
171137686020004,2014-2018,45.37931,-68.39461,83,Not LSOG,Not LSOG,3,12,15
171137687020004,2014-2018,45.31279,-68.43383,43,Not LSOG,Not LSOG,1,12,15
171137689020004,2014-2018,45.33956,-68.58089,94,OG,OG,9,NA,15
171137690020004,2014-2018,45.50029,-68.6491,87,Not LSOG,Not LSOG,3,22,15
171137691020004,2014-2018,45.30151,-67.81397,96,Not LSOG,Not LSOG,3,4,-1
171137695020004,2014-2018,45.615083,-67.768481,68,Not LSOG,Not LSOG,1,17,-1
171137696020004,2014-2018,47.01647,-69.56853,30,Not LSOG,Not LSOG,2,4,1
171137697020004,2014-2018,46.98444,-69.61657,100,Transitioning LS,Not LSOG,4,13,1
171137698020004,2014-2018,46.91904,-69.60625,3,Not LSOG,Not LSOG,2,10,15
171137699020004,2014-2018,46.88847,-69.65114,35,Not LSOG,Not LSOG,2,5,15
171137700020004,2014-2018,46.79398,-69.7389,86,Not LSOG,Not LSOG,3,15,15
171137701020004,2014-2018,46.73312,-69.82278,30,Not LSOG,Not LSOG,0,17,15
171137702020004,2014-2018,46.63551,-69.85749,30,Not LSOG,Not LSOG,2,16,15
171137703020004,2014-2018,46.58196,-69.91342,66,Not LSOG,Not LSOG,1,11,15
171137704020004,2014-2018,46.55786,-69.90897,31,Not LSOG,Not LSOG,2,11,15
171137705020004,2014-2018,46.49862,-69.96287,50,Not LSOG,Not LSOG,2,14,15
171137706020004,2014-2018,46.44946,-70.03276,92,Not LSOG,Not LSOG,3,15,15
171137707020004,2014-2018,46.94999,-69.18779,76,Not LSOG,Not LSOG,0,14,15
171137708020004,2014-2018,47.02332,-69.13902,83,Transitioning LS,Transitioning LS,5,9,15
171137709020004,2014-2018,47.12838,-69.23685,30,Not LSOG,Not LSOG,0,6,-1
171137710020004,2014-2018,44.13854,-69.69594,50,Not LSOG,Not LSOG,3,20,-1
171137711020004,2014-2018,45.39938,-67.94866,66,Not LSOG,Not LSOG,1,18,15
171137713020004,2014-2018,45.16423,-67.93737,83,Transitioning LS,Not LSOG,4,9,15
171137714020004,2014-2018,45.18849,-68.11492,45,Not LSOG,Not LSOG,0,4,15
171137715020004,2014-2018,45.02883,-68.06517,35,Not LSOG,Not LSOG,0,10,15
171137716020004,2014-2018,44.95424,-68.13442,48,Not LSOG,Not LSOG,1,12,15
171137717020004,2014-2018,44.82009,-68.21721,97,Transitioning LS,Transitioning LS,5,7,15
171137718020004,2014-2018,44.30011,-68.32499,61,Not LSOG,Not LSOG,3,15,-1
171137719020004,2014-2018,44.15078,-68.4252,40,Not LSOG,Not LSOG,0,5,-1
171137720020004,2014-2018,44.23756,-68.53436,64,Not LSOG,Not LSOG,3,10,-1
171137721020004,2014-2018,47.22813,-69.35207,4,Not LSOG,Not LSOG,0,17,-1
171137722020004,2014-2018,47.17293,-69.42864,52,Not LSOG,Not LSOG,2,16,-1
171137723020004,2014-2018,47.03883,-69.23779,91,Transitioning LS,Not LSOG,4,7,15
171137724020004,2014-2018,47.00762,-69.36499,73,Not LSOG,Not LSOG,1,16,2
171137725020004,2014-2018,46.82682,-69.31542,78,Transitioning LS,Not LSOG,4,15,15
171137726020004,2014-2018,46.74131,-69.3956,134,LS,LS,7,18,15
171137727020004,2014-2018,46.85419,-69.49032,45,Not LSOG,Not LSOG,2,15,15
171137728020004,2014-2018,46.77383,-69.55889,34,Not LSOG,Not LSOG,2,15,15
171137729020004,2014-2018,46.69875,-69.44342,33,Not LSOG,Not LSOG,0,11,15
171137730020004,2014-2018,46.5475,-69.54962,25,Not LSOG,Not LSOG,2,3,15
171137731020004,2014-2018,46.70417,-69.61117,82,Transitioning LS,Not LSOG,4,4,1
171137732020004,2014-2018,46.64637,-69.66546,99,Transitioning LS,Not LSOG,4,17,15
171137733020004,2014-2018,47.26549,-68.49581,82,Not LSOG,Not LSOG,2,13,-1
171137734020004,2014-2018,47.21127,-68.568,67,Not LSOG,Not LSOG,2,12,-1
171137735020004,2014-2018,47.15255,-68.8232,84,Transitioning LS,Transitioning LS,5,19,-1
171137736020004,2014-2018,47.00999,-68.70677,94,Not LSOG,Not LSOG,4,21,15
171137737020004,2014-2018,46.98747,-68.72669,7,Not LSOG,Not LSOG,0,7,15
171137738020004,2014-2018,47.07376,-68.87533,8,Not LSOG,Not LSOG,1,19,15
171137739020004,2014-2018,47.10065,-69.06653,88,Not LSOG,Not LSOG,2,17,15
171137740020004,2014-2018,46.98121,-68.88214,145,LS,LS,7,15,15
171137741020004,2014-2018,46.94179,-68.97392,42,Not LSOG,Not LSOG,0,0,15
171137742020004,2014-2018,46.81361,-68.8635,40,Not LSOG,Not LSOG,3,11,15
171137743020004,2014-2018,46.77695,-68.95245,5,Not LSOG,Not LSOG,0,14,15
171137744020004,2014-2018,46.87566,-69.0637,73,Not LSOG,Not LSOG,0,14,15
171137745020004,2014-2018,46.80731,-69.14262,15,Not LSOG,Not LSOG,0,16,15
171137746020004,2014-2018,44.38255,-70.92356,93,Not LSOG,Not LSOG,4,19,-1
171137747020004,2014-2018,44.23523,-70.85192,65,Not LSOG,Not LSOG,4,21,-1
171137748020004,2014-2018,44.06689,-70.82662,73,Not LSOG,Not LSOG,4,19,-1
171137749020004,2014-2018,43.98435,-70.8458,62,Not LSOG,Not LSOG,2,16,-1
171137751020004,2014-2018,43.85099,-70.96729,83,Not LSOG,Not LSOG,4,20,-1
171137752020004,2014-2018,44.61627,-70.93195,85,Transitioning LS,Not LSOG,4,15,-1
171137753020004,2014-2018,44.52978,-70.81161,52,Not LSOG,Not LSOG,1,20,-1
171137754020004,2014-2018,44.73726,-71.0085,104,Transitioning LS,Transitioning LS,6,19,15
171137755020004,2014-2018,44.52411,-70.98813,120,Transitioning LS,Transitioning LS,5,15,-1
171137756020004,2014-2018,44.45127,-70.99455,36,Not LSOG,Not LSOG,2,19,-1
171137757020004,2014-2018,44.30993,-70.98529,75,Not LSOG,Not LSOG,3,23,-1
171137758020004,2014-2018,45.11822,-70.45211,33,Not LSOG,Not LSOG,2,12,15
171137759020004,2014-2018,44.85752,-70.3763,40,Not LSOG,Not LSOG,0,12,15
171137760020004,2014-2018,44.80971,-70.418450000000007,56,Not LSOG,Not LSOG,2,20,15
171137761020004,2014-2018,44.64276,-70.29702,50,Not LSOG,Not LSOG,1,21,-1
171137762020004,2014-2018,44.95182,-70.24935,60,Not LSOG,Not LSOG,2,18,15
171137763020004,2014-2018,44.8059,-70.59916,94,LS,Transitioning LS,6,13,15
171137764020004,2014-2018,44.64429,-70.5331,75,Not LSOG,Not LSOG,4,22,-1
171137765020004,2014-2018,44.5782,-70.58568,76,Not LSOG,Not LSOG,0,3,-1
171137766020004,2014-2018,44.41243,-70.52797,74,Not LSOG,Not LSOG,3,21,-1
171137768020004,2014-2018,44.58306,-70.75826,40,Not LSOG,Not LSOG,2,16,-1
171137769020004,2014-2018,44.43861,-70.70176,73,Not LSOG,Not LSOG,3,17,-1
171137770020004,2014-2018,44.36171,-70.74604,76,Not LSOG,Not LSOG,2,0,-1
171137771020004,2014-2018,44.29253,-70.64487,75,Not LSOG,Not LSOG,4,18,-1
171137772020004,2014-2018,44.19921,-70.68856,72,Not LSOG,Not LSOG,3,18,-1
171137773020004,2014-2018,44.28933,-70.80872,81,Transitioning LS,Not LSOG,4,6,-1
171137774020004,2014-2018,46.46835,-69.00275,75,Not LSOG,Not LSOG,3,12,15
171137775020004,2014-2018,46.4982,-68.93607,35,Not LSOG,Not LSOG,0,17,1
171137776020004,2014-2018,46.44025,-69.24455,28,Not LSOG,Not LSOG,1,15,15
171137777020004,2014-2018,46.3331,-69.12721,30,Not LSOG,Not LSOG,1,13,1
171137778020004,2014-2018,46.26266,-69.19094,83,Not LSOG,Not LSOG,3,11,15
171137779020004,2014-2018,46.16035,-69.0679,118,Transitioning LS,Transitioning LS,6,20,15
171137780020004,2014-2018,46.10584,-69.11782,23,Not LSOG,Not LSOG,1,13,15
171137781020004,2014-2018,46.16743,-69.43229,68,Not LSOG,Not LSOG,2,5,15
171137782020004,2014-2018,46.2895,-69.24199,42,Not LSOG,Not LSOG,3,18,15
171137783020004,2014-2018,46.31191,-69.36544,136,Transitioning LS,Transitioning LS,5,16,15
171137784020004,2014-2018,46.05301,-69.3699,64,Not LSOG,Not LSOG,3,12,15
171137785020004,2014-2018,45.95068,-69.24463,19,Not LSOG,Not LSOG,0,4,15
171137786020004,2014-2018,45.15779,-70.71784,25,Not LSOG,Not LSOG,0,0,15
171137787020004,2014-2018,45.14929,-70.87762,102,Transitioning LS,Transitioning LS,5,14,1
171137788020004,2014-2018,45.08606,-70.95869,49,Not LSOG,Not LSOG,0,0,15
171137789020004,2014-2018,44.94339,-70.87161,93,Transitioning LS,Transitioning LS,6,21,15
171137790020004,2014-2018,44.86613,-70.96858,60,Not LSOG,Not LSOG,1,17,1
171137791020004,2014-2018,45.27172,-69.84795,60,Not LSOG,Not LSOG,1,12,15
171137792020004,2014-2018,45.35295,-69.94923,103,Not LSOG,Not LSOG,3,19,15
171137794020004,2014-2018,45.20769,-70.06942,35,Not LSOG,Not LSOG,2,16,15
171137795020004,2014-2018,45.13094,-70.12514,43,Not LSOG,Not LSOG,3,21,15
171137796020004,2014-2018,45.22663,-70.2544,55,Not LSOG,Not LSOG,1,21,15
171137797020004,2014-2018,45.08327,-70.1799,79,Not LSOG,Not LSOG,0,0,15
171137798020004,2014-2018,44.9116,-70.12261,48,Not LSOG,Not LSOG,1,22,15
171137799020004,2014-2018,44.73544,-70.52928,140,LS,LS,7,18,15
