YEAR,area_ac,area_ac_se,denom_ac,area_perc,area_perc_se,domain,region,perc_lo,perc_hi
2012,899206.699733755,67249.7651292412,10042844.4372536,8.95370535062928,0.669628664960498,Stand age >= 100 yr,UT (AOI-clip),7.64123316730671,10.2661775339519
2013,894779.787615183,66911.6126387358,10056184.4750808,8.89780602009084,0.665377736501775,Stand age >= 100 yr,UT (AOI-clip),7.59366565654736,10.2019463836343
2014,928155.034089215,68575.6317520245,10048370.8098285,9.23687084856952,0.682455226323352,Stand age >= 100 yr,UT (AOI-clip),7.89925860497575,10.5744830921633
2015,1014785.13149915,74154.4157391552,10082413.2212616,10.0649032055063,0.735482806663584,Stand age >= 100 yr,UT (AOI-clip),8.62335690444568,11.5064495065669
2016,1034287.28305502,74885.6605578332,10090565.8327653,10.2500424673566,0.742135394574903,Stand age >= 100 yr,UT (AOI-clip),8.79545709398976,11.7046278407234
2017,1079681.64141644,76336.324343786,10101502.4268914,10.6883272981472,0.755692778339284,Stand age >= 100 yr,UT (AOI-clip),9.20716945260222,12.1694851436922
2018,1138853.07568386,78302.1307375044,10069502.6181865,11.3099238251052,0.77761666793833,Stand age >= 100 yr,UT (AOI-clip),9.78579515594607,12.8340524942643
2019,1118183.00491921,75091.6507389188,10077007.858687,11.0963792089858,0.74517805078603,Stand age >= 100 yr,UT (AOI-clip),9.63583022944515,12.5569281885264
2020,1182642.13771234,76789.3025065015,10083060.0987538,11.7290001857521,0.761567438400887,Stand age >= 100 yr,UT (AOI-clip),10.2363280064864,13.2216723650179
2021,1234465.54659406,78280.1469250754,10094922.2813704,12.2285790042404,0.775440808192616,Stand age >= 100 yr,UT (AOI-clip),10.7087150201829,13.748442988298
2022,1288278.69194047,80143.4019527997,10056332.3949975,12.8106216196804,0.796944639505621,Stand age >= 100 yr,UT (AOI-clip),11.2486101262494,14.3726331131114
2023,1334672.29227085,81605.3925335417,10045426.1870111,13.2863680188761,0.812363666949825,Stand age >= 100 yr,UT (AOI-clip),11.6941352316544,14.8786008060977
2024,1323816.83386605,80966.2760055875,10041024.4219831,13.1840814067515,0.806354736358628,Stand age >= 100 yr,UT (AOI-clip),11.6036261234886,14.7645366900144
2003,911558.282799228,70071.9571540446,9991820.26220484,9.12304523978777,0.701293210998795,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.74851054623013,10.4975799333454
2004,874706.970835659,69094.9572053779,9975365.73710536,8.76867068223887,0.692655878755056,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.41106515987896,10.1262762045988
2005,896232.77517249,69838.2550423201,10006687.907503,8.95633783582376,0.697915790797828,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.58842288586001,10.3242527857875
2006,884599.600082452,69823.0137027231,10055863.3728288,8.79685380842251,0.694351256714434,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.43592534526222,10.1577822715828
2007,856035.371206035,68423.7214955976,10010593.2758607,8.55129508927568,0.683513150620084,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.21160931406031,9.89098086449104
2008,860302.006680938,68531.426707986,10035470.229367,8.57261281253586,0.682892033374192,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.23414442712244,9.91108119794927
2009,844995.517100161,67578.3355413581,10023962.419502,8.42975543739258,0.674167886043564,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.1083863807472,9.75112449403797
2010,847809.94126027,67543.614560321,10022823.6983099,8.45879331792728,0.673898060999622,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.13795311836802,9.77963351748654
2011,894466.769639713,69043.1375271777,10024928.2452979,8.92242565485943,0.688714530795385,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.57254517450048,10.2723061352184
2012,895822.884679752,68850.8285998068,10042844.4372536,8.92001155924234,0.685570995647474,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.5762924077733,10.2637307107114
2013,907654.679521253,69338.1159667457,10056184.4750808,9.02583561161208,0.689507199659723,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.67440150027903,10.3772697229451
2014,911834.68173583,69186.6285682658,10048370.8098285,9.07445295354696,0.688535782343872,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.72492282015297,10.4239830869409
2015,952964.79345204,73996.8628177098,10082413.2212616,9.45175299344452,0.733920155758609,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),8.01326948815764,10.8902364987314
2016,918013.438840806,72622.6113075393,10090565.8327653,9.09773994893234,0.719708017480296,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.68711223467096,10.5083676631937
2017,930384.497230152,72850.2454751799,10101502.4268914,9.2103576073333,0.721182279590843,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),7.79684033933525,10.6238748753313
2018,968579.602663629,73924.482857558,10069502.6181865,9.61894186227515,0.734142347051418,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),8.18002286205437,11.0578608624959
2019,945606.193367043,70844.1341690192,10077007.858687,9.38379930459092,0.703027477625188,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),8.00586544844555,10.7617331607363
2020,953184.519240718,71330.5799757654,10083060.0987538,9.45332577516346,0.707429880186683,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),8.06676320999756,10.8398883403294
2021,953854.41369547,71380.6702420758,10094922.2813704,9.44885346423864,0.707094797290361,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),8.06294766154954,10.8347592669278
2022,972375.92878333,72287.2450348996,10056332.3949975,9.66928986224678,0.718823147401719,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),8.26039649333941,11.0781832311541
2023,977037.243941746,72364.4014563719,10045426.1870111,9.72619006653064,0.720371640876123,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),8.31426165041344,11.1381184826478
2024,977808.784537489,72373.6114119023,10041024.4219831,9.73813769834822,0.720779159280327,Large-tree BA >= 30 ft2/ac,UT (AOI-clip),8.32541054615878,11.1508648505377
