Plot_ID,res,g,ours_orig,ours_pelz,hag_code,hag_lsog,in_hag
90,Bigelow,spruce-fir,1,1,2,1,1
91,Bigelow,spruce-fir,0,1,3,1,1
92,Bigelow,spruce-fir,1,1,1,0,1
93,Bigelow,spruce-fir,1,1,1,0,1
94,Bigelow,spruce-fir,1,1,1,0,1
95,Bigelow,spruce-fir,0,0,1,0,1
96,Bigelow,spruce-fir,1,1,1,0,1
97,Bigelow,spruce-fir,1,1,1,0,1
98,Bigelow,spruce-fir,0,1,1,0,1
99,Bigelow,spruce-fir,1,1,1,0,1
100,Bigelow,spruce-fir,1,1,1,0,1
101,Bigelow,spruce-fir,0,1,1,0,1
102,Bigelow,spruce-fir,0,0,1,0,1
103,Bigelow,maple-beech-birch,0,0,2,1,1
104,Donnell Pond,spruce-fir,0,1,2,1,1
105,Donnell Pond,spruce-fir,1,1,2,1,1
106,Donnell Pond,spruce-fir,1,1,2,1,1
107,Donnell Pond,spruce-fir,0,1,2,1,1
108,Donnell Pond,maple-beech-birch,1,1,1,0,1
109,Donnell Pond,maple-beech-birch,0,1,2,1,1
110,Donnell Pond,spruce-fir,0,0,2,1,1
111,Donnell Pond,spruce-fir,0,1,1,0,1
112,Donnell Pond,spruce-fir,1,1,1,0,1
113,Donnell Pond,spruce-fir,1,1,1,0,1
114,Donnell Pond,aspen-birch,0,0,1,0,1
115,Donnell Pond,aspen-birch,0,0,1,0,1
116,Donnell Pond,maple-beech-birch,1,1,2,1,1
117,Donnell Pond,maple-beech-birch,0,1,1,0,1
118,Donnell Pond,spruce-fir,0,0,1,0,1
119,Donnell Pond,spruce-fir,1,1,1,0,1
120,Donnell Pond,spruce-fir,1,1,3,1,1
121,Donnell Pond,spruce-fir,1,1,3,1,1
122,Duck Lake,pine-softwood,1,1,3,1,1
123,Duck Lake,pine-softwood,1,1,3,1,1
124,Duck Lake,spruce-fir,1,1,3,1,1
125,Duck Lake,spruce-fir,1,1,1,0,1
126,Duck Lake,spruce-fir,0,1,4,1,1
127,Duck Lake,spruce-fir,1,1,4,1,1
128,Duck Lake,elm-ash-cottonwood,1,1,1,0,1
129,Duck Lake,oak-hickory,0,0,1,0,1
130,Duck Lake,elm-ash-cottonwood,0,0,2,1,1
131,Duck Lake,elm-ash-cottonwood,0,0,2,1,1
132,Deboullie,spruce-fir,1,1,1,0,1
133,Deboullie,aspen-birch,0,0,1,0,1
134,Deboullie,maple-beech-birch,0,0,3,1,1
135,Deboullie,spruce-fir,1,1,3,1,1
136,Deboullie,maple-beech-birch,0,0,3,1,1
137,Deboullie,spruce-fir,1,1,2,1,1
138,Deboullie,spruce-fir,1,1,2,1,1
139,Deboullie,maple-beech-birch,1,1,2,1,1
140,Deboullie,maple-beech-birch,1,1,2,1,1
141,Deboullie,aspen-birch,0,0,3,1,1
142,Deboullie,spruce-fir,1,1,1,0,1
143,Deboullie,spruce-fir,0,1,1,0,1
144,Deboullie,aspen-birch,0,1,2,1,1
145,Deboullie,spruce-fir,1,1,1,0,1
146,Duck Lake,pine-softwood,0,0,3,1,1
147,Duck Lake,pine-softwood,0,0,3,1,1
148,Duck Lake,pine-softwood,0,0,3,1,1
149,Duck Lake,spruce-fir,1,1,3,1,1
150,Duck Lake,spruce-fir,1,1,1,0,1
151,Duck Lake,pine-softwood,1,1,3,1,1
152,Duck Lake,elm-ash-cottonwood,0,0,3,1,1
153,Duck Lake,oak-hickory,1,1,3,1,1
154,Duck Lake,aspen-birch,0,1,3,1,1
155,Duck Lake,spruce-fir,1,1,3,1,1
156,Duck Lake,aspen-birch,0,1,3,1,1
157,Duck Lake,aspen-birch,0,1,3,1,1
158,Duck Lake,spruce-fir,1,1,3,1,1
159,Duck Lake,maple-beech-birch,1,0,3,1,1
160,Duck Lake,aspen-birch,1,1,3,1,1
161,Duck Lake,aspen-birch,1,1,3,1,1
162,Rocky Lake,aspen-birch,0,0,3,1,1
163,Rocky Lake,oak-hickory,0,1,2,1,1
164,Rocky Lake,spruce-fir,1,1,1,0,1
165,Rocky Lake,spruce-fir,0,0,2,1,1
166,Deboullie,spruce-fir,0,1,2,1,1
167,Deboullie,spruce-fir,1,1,2,1,1
168,Deboullie,spruce-fir,1,1,2,1,1
169,Deboullie,maple-beech-birch,1,1,2,1,1
170,Deboullie,spruce-fir,1,1,2,1,1
171,Deboullie,spruce-fir,1,1,3,1,1
172,Deboullie,spruce-fir,1,1,2,1,1
173,Deboullie,maple-beech-birch,0,0,2,1,1
174,Deboullie,spruce-fir,0,0,2,1,1
175,Rocky Lake,spruce-fir,0,1,1,0,1
176,Rocky Lake,aspen-birch,0,0,1,0,1
178,Rocky Lake,spruce-fir,1,1,1,0,1
179,Deboullie,spruce-fir,0,1,2,1,1
180,Deboullie,spruce-fir,0,1,1,0,1
181,Deboullie,spruce-fir,1,1,1,0,1
182,Deboullie,maple-beech-birch,0,1,3,1,1
183,Deboullie,maple-beech-birch,1,1,3,1,1
184,Deboullie,maple-beech-birch,0,1,2,1,1
185,Deboullie,maple-beech-birch,0,1,3,1,1
186,Deboullie,spruce-fir,1,1,2,1,1
187,Deboullie,spruce-fir,1,1,1,0,1
188,Deboullie,spruce-fir,1,1,2,1,1
189,Rocky Lake,spruce-fir,0,0,2,1,1
190,Rocky Lake,spruce-fir,1,1,1,0,1
192,Gero Island,spruce-fir,1,1,3,1,1
193,Gero Island,spruce-fir,1,1,2,1,1
194,Gero Island,spruce-fir,1,1,3,1,1
195,Gero Island,spruce-fir,1,1,4,1,1
196,Gero Island,spruce-fir,1,1,3,1,1
197,Gero Island,spruce-fir,1,1,2,1,1
198,Gero Island,spruce-fir,1,1,3,1,1
199,Gero Island,spruce-fir,1,1,2,1,1
200,Gero Island,spruce-fir,0,0,1,0,1
201,Gero Island,spruce-fir,0,0,2,1,1
202,Gero Island,pine-softwood,1,1,3,1,1
203,Gero Island,pine-softwood,1,1,2,1,1
204,Gero Island,spruce-fir,0,1,4,1,1
205,Gero Island,spruce-fir,0,0,4,1,1
206,Gero Island,spruce-fir,1,1,1,0,1
207,Gero Island,spruce-fir,1,1,3,1,1
208,Gero Island,spruce-fir,1,1,3,1,1
209,Gero Island,spruce-fir,1,1,3,1,1
212,Gero Island,spruce-fir,1,1,2,1,1
213,Gero Island,spruce-fir,1,1,1,0,1
214,Gero Island,aspen-birch,0,1,4,1,1
215,Gero Island,spruce-fir,0,0,1,0,1
216,Gero Island,spruce-fir,1,1,2,1,1
217,Mt. Abraham,spruce-fir,0,0,1,0,1
218,Mt. Abraham,spruce-fir,1,1,1,0,1
219,Mt. Abraham,spruce-fir,1,1,2,1,1
220,Mt. Abraham,maple-beech-birch,1,1,2,1,1
221,Mt. Abraham,maple-beech-birch,0,0,1,0,1
222,Mt. Abraham,spruce-fir,0,0,2,1,1
223,Mt. Abraham,spruce-fir,1,1,1,0,1
224,Mt. Abraham,spruce-fir,1,1,3,1,1
225,Mt. Abraham,spruce-fir,0,0,2,1,1
226,Mt. Abraham,maple-beech-birch,0,1,2,1,1
227,Mt. Abraham,spruce-fir,0,0,1,0,1
228,Mt. Abraham,spruce-fir,1,1,1,0,1
229,Mt. Abraham,maple-beech-birch,0,0,1,0,1
230,Mt. Abraham,maple-beech-birch,0,0,2,1,1
231,Mt. Abraham,maple-beech-birch,0,0,2,1,1
233,Mt. Abraham,spruce-fir,0,1,,0,0
234,Mt. Abraham,spruce-fir,0,1,,0,0
235,Mt. Abraham,spruce-fir,0,0,,0,0
236,Mt. Abraham,spruce-fir,0,0,,0,0
237,Mt. Abraham,spruce-fir,1,1,,0,0
238,Mt. Abraham,spruce-fir,0,0,,0,0
239,Mt. Abraham,spruce-fir,0,0,,0,0
240,Mt. Abraham,spruce-fir,0,1,,0,0
241,Mt. Abraham,spruce-fir,1,1,1,0,1
242,Mt. Abraham,spruce-fir,0,1,1,0,1
243,Mt. Abraham,spruce-fir,1,1,1,0,1
244,Mt. Abraham,spruce-fir,1,1,1,0,1
245,Mt. Abraham,spruce-fir,0,0,1,0,1
246,Mt. Abraham,spruce-fir,0,0,,0,0
247,Mt. Abraham,spruce-fir,0,1,,0,0
248,Mt. Abraham,spruce-fir,0,1,,0,0
249,Mt. Abraham,spruce-fir,1,1,,0,0
250,Cutler,spruce-fir,1,1,,0,0
251,Cutler,spruce-fir,1,1,,0,0
252,Cutler,spruce-fir,1,1,,0,0
253,Cutler,spruce-fir,0,1,,0,0
254,Cutler,spruce-fir,0,0,,0,0
255,Appleton Bog,elm-ash-cottonwood,0,0,,0,0
256,Appleton Bog,spruce-fir,1,1,,0,0
257,Appleton Bog,pine-softwood,1,1,,0,0
258,Appleton Bog,spruce-fir,1,1,,0,0
260,Appleton Bog,spruce-fir,0,0,,0,0
261,Appleton Bog,spruce-fir,0,0,,0,0
262,Appleton Bog,spruce-fir,1,1,,0,0
263,Appleton Bog,spruce-fir,0,0,,0,0
264,Appleton Bog,elm-ash-cottonwood,0,1,,0,0
265,Appleton Bog,maple-beech-birch,0,1,,0,0
266,Appleton Bog,spruce-fir,0,0,,0,0
267,Appleton Bog,spruce-fir,0,0,,0,0
268,Appleton Bog,spruce-fir,0,0,,0,0
269,Appleton Bog,pine-softwood,1,1,,0,0
270,Appleton Bog,spruce-fir,1,1,,0,0
271,Appleton Bog,spruce-fir,1,1,,0,0
272,Debsconeags,spruce-fir,1,1,3,1,1
273,Debsconeags,spruce-fir,1,1,3,1,1
274,Debsconeags,spruce-fir,0,1,3,1,1
275,Debsconeags,spruce-fir,1,1,2,1,1
276,Debsconeags,spruce-fir,1,1,1,0,1
277,Debsconeags,spruce-fir,1,1,2,1,1
278,Debsconeags,spruce-fir,0,0,1,0,1
279,Debsconeags,spruce-fir,1,1,3,1,1
280,Debsconeags,maple-beech-birch,0,1,3,1,1
281,Debsconeags,spruce-fir,1,1,3,1,1
282,Debsconeags,spruce-fir,1,1,3,1,1
283,Debsconeags,spruce-fir,1,1,3,1,1
285,Debsconeags,spruce-fir,1,1,2,1,1
286,Debsconeags,spruce-fir,1,1,1,0,1
287,Debsconeags,spruce-fir,0,1,4,1,1
288,Debsconeags,spruce-fir,1,1,2,1,1
289,Debsconeags,spruce-fir,1,1,2,1,1
290,Debsconeags,spruce-fir,1,1,1,0,1
291,Debsconeags,maple-beech-birch,0,0,2,1,1
293,Debsconeags,spruce-fir,0,0,1,0,1
294,Debsconeags,spruce-fir,1,1,3,1,1
295,Debsconeags,spruce-fir,1,1,3,1,1
296,Debsconeags,spruce-fir,1,1,2,1,1
297,Debsconeags,pine-softwood,0,1,1,0,1
298,Debsconeags,spruce-fir,1,1,2,1,1
299,Debsconeags,spruce-fir,1,1,2,1,1
300,Debsconeags,spruce-fir,0,0,2,1,1
301,Debsconeags,spruce-fir,1,1,3,1,1
302,Debsconeags,pine-softwood,1,1,3,1,1
303,Debsconeags,spruce-fir,0,0,3,1,1
304,Debsconeags,pine-softwood,0,1,1,0,1
305,Debsconeags,spruce-fir,0,0,1,0,1
306,Debsconeags,spruce-fir,0,0,2,1,1
307,Debsconeags,pine-softwood,1,1,4,1,1
308,Debsconeags,spruce-fir,1,1,1,0,1
309,Debsconeags,spruce-fir,0,1,1,0,1
310,Debsconeags,spruce-fir,1,1,1,0,1
314,Debsconeags,aspen-birch,0,0,1,0,1
315,Debsconeags,spruce-fir,1,1,1,0,1
316,Debsconeags,aspen-birch,1,1,1,0,1
317,Debsconeags,spruce-fir,1,1,3,1,1
318,Debsconeags,spruce-fir,1,1,2,1,1
319,Debsconeags,aspen-birch,0,0,1,0,1
320,Debsconeags,spruce-fir,0,0,2,1,1
321,Debsconeags,spruce-fir,0,0,2,1,1
322,Debsconeags,spruce-fir,1,1,3,1,1
323,Debsconeags,maple-beech-birch,0,0,3,1,1
324,Debsconeags,maple-beech-birch,0,1,2,1,1
325,Debsconeags,spruce-fir,1,1,3,1,1
326,Debsconeags,spruce-fir,1,1,4,1,1
327,Debsconeags,spruce-fir,0,1,3,1,1
328,Debsconeags,spruce-fir,0,1,2,1,1
329,Debsconeags,spruce-fir,1,1,2,1,1
330,Debsconeags,spruce-fir,1,1,3,1,1
331,Debsconeags,spruce-fir,1,1,3,1,1
332,Debsconeags,spruce-fir,0,0,1,0,1
333,Debsconeags,spruce-fir,0,0,1,0,1
334,Debsconeags,spruce-fir,1,1,2,1,1
335,Debsconeags,spruce-fir,0,1,1,0,1
336,Debsconeags,spruce-fir,0,0,1,0,1
337,Debsconeags,spruce-fir,1,1,3,1,1
338,Debsconeags,spruce-fir,1,1,3,1,1
339,Debsconeags,spruce-fir,1,1,3,1,1
340,Debsconeags,maple-beech-birch,0,1,3,1,1
341,Debsconeags,spruce-fir,1,1,2,1,1
342,Debsconeags,spruce-fir,1,1,4,1,1
343,Debsconeags,spruce-fir,0,0,2,1,1
344,Debsconeags,maple-beech-birch,0,1,3,1,1
345,Debsconeags,spruce-fir,1,1,2,1,1
346,Debsconeags,spruce-fir,1,1,2,1,1
347,Debsconeags,aspen-birch,0,1,1,0,1
348,Debsconeags,spruce-fir,0,1,1,0,1
349,Debsconeags,spruce-fir,0,0,1,0,1
350,Debsconeags,spruce-fir,1,1,1,0,1
351,Debsconeags,maple-beech-birch,0,0,2,1,1
352,Debsconeags,spruce-fir,0,1,3,1,1
353,Debsconeags,spruce-fir,1,1,2,1,1
354,Debsconeags,spruce-fir,0,1,3,1,1
355,Debsconeags,aspen-birch,0,0,2,1,1
356,Debsconeags,aspen-birch,0,0,4,1,1
357,Debsconeags,spruce-fir,1,1,3,1,1
358,Debsconeags,spruce-fir,0,1,2,1,1
359,Debsconeags,spruce-fir,1,1,2,1,1
360,Debsconeags,spruce-fir,1,1,2,1,1
361,Debsconeags,spruce-fir,0,1,2,1,1
363,Debsconeags,spruce-fir,1,1,3,1,1
364,Debsconeags,spruce-fir,1,1,3,1,1
365,Debsconeags,spruce-fir,1,1,3,1,1
366,Debsconeags,spruce-fir,1,1,3,1,1
367,Debsconeags,spruce-fir,1,1,1,0,1
368,Debsconeags,spruce-fir,0,0,1,0,1
369,Debsconeags,spruce-fir,0,0,1,0,1
370,Debsconeags,spruce-fir,0,0,1,0,1
371,Debsconeags,spruce-fir,0,0,1,0,1
372,Debsconeags,spruce-fir,0,1,1,0,1
373,Debsconeags,maple-beech-birch,1,1,3,1,1
374,Debsconeags,pine-softwood,1,1,4,1,1
375,Debsconeags,pine-softwood,1,1,3,1,1
376,Debsconeags,pine-softwood,1,1,3,1,1
377,Debsconeags,spruce-fir,0,1,1,0,1
378,Debsconeags,spruce-fir,1,1,3,1,1
379,Debsconeags,spruce-fir,1,1,3,1,1
380,Debsconeags,spruce-fir,1,1,2,1,1
381,Debsconeags,pine-softwood,1,1,1,0,1
382,Debsconeags,spruce-fir,1,1,2,1,1
383,Debsconeags,spruce-fir,0,0,2,1,1
384,Debsconeags,spruce-fir,0,1,3,1,1
385,Debsconeags,maple-beech-birch,0,0,3,1,1
386,Debsconeags,spruce-fir,0,1,4,1,1
387,Debsconeags,spruce-fir,1,1,1,0,1
388,Debsconeags,spruce-fir,0,0,1,0,1
389,Debsconeags,aspen-birch,0,0,4,1,1
390,Debsconeags,aspen-birch,0,0,2,1,1
391,Debsconeags,spruce-fir,1,1,1,0,1
392,Debsconeags,spruce-fir,0,1,2,1,1
395,Kennebec Estuary Sites,oak-pine,0,1,,0,0
396,Kennebec Estuary Sites,oak-hickory,0,1,,0,0
397,Kennebec Estuary Sites,pine-softwood,1,1,,0,0
398,Kennebec Estuary Sites,oak-hickory,0,1,,0,0
399,Kennebec Estuary Sites,pine-softwood,0,1,,0,0
400,Debsconeags,spruce-fir,1,1,3,1,1
401,Debsconeags,spruce-fir,0,0,2,1,1
402,Debsconeags,spruce-fir,0,0,3,1,1
403,Debsconeags,aspen-birch,0,0,3,1,1
404,Debsconeags,spruce-fir,0,0,2,1,1
405,Debsconeags,spruce-fir,0,1,3,1,1
406,Debsconeags,spruce-fir,1,1,3,1,1
407,Debsconeags,spruce-fir,1,1,2,1,1
408,Debsconeags,spruce-fir,0,1,1,0,1
409,Debsconeags,spruce-fir,1,1,1,0,1
410,Debsconeags,spruce-fir,1,1,2,1,1
411,Debsconeags,spruce-fir,1,1,2,1,1
412,Debsconeags,spruce-fir,1,1,3,1,1
413,Debsconeags,spruce-fir,0,1,2,1,1
414,Debsconeags,spruce-fir,1,1,2,1,1
416,Debsconeags,spruce-fir,1,1,2,1,1
417,Debsconeags,spruce-fir,0,0,1,0,1
418,Debsconeags,spruce-fir,0,1,1,0,1
419,Debsconeags,maple-beech-birch,1,1,1,0,1
420,Debsconeags,spruce-fir,1,1,2,1,1
421,Debsconeags,spruce-fir,0,1,1,0,1
422,Debsconeags,spruce-fir,1,1,2,1,1
423,Debsconeags,spruce-fir,1,1,2,1,1
424,Debsconeags,maple-beech-birch,1,1,2,1,1
425,Debsconeags,spruce-fir,1,1,1,0,1
426,Debsconeags,spruce-fir,0,1,2,1,1
427,Debsconeags,spruce-fir,0,0,2,1,1
428,Debsconeags,spruce-fir,0,0,1,0,1
429,Debsconeags,spruce-fir,1,1,2,1,1
430,Debsconeags,spruce-fir,0,1,2,1,1
431,Debsconeags,spruce-fir,0,1,2,1,1
432,Debsconeags,spruce-fir,1,1,3,1,1
433,Debsconeags,spruce-fir,1,1,3,1,1
434,Debsconeags,spruce-fir,1,1,3,1,1
435,Debsconeags,spruce-fir,1,1,2,1,1
436,Debsconeags,spruce-fir,1,1,2,1,1
437,Debsconeags,spruce-fir,0,0,3,1,1
438,Debsconeags,spruce-fir,1,1,2,1,1
439,Debsconeags,spruce-fir,1,1,2,1,1
440,Debsconeags,spruce-fir,0,1,1,0,1
441,Debsconeags,spruce-fir,0,1,4,1,1
442,Debsconeags,spruce-fir,1,1,4,1,1
444,Debsconeags,spruce-fir,1,1,3,1,1
445,Debsconeags,spruce-fir,0,1,3,1,1
446,Debsconeags,spruce-fir,1,1,2,1,1
447,Debsconeags,spruce-fir,1,1,2,1,1
448,Debsconeags,spruce-fir,1,1,2,1,1
449,Debsconeags,spruce-fir,1,1,1,0,1
450,Debsconeags,spruce-fir,1,1,1,0,1
451,Debsconeags,spruce-fir,0,0,1,0,1
452,Debsconeags,maple-beech-birch,1,1,1,0,1
454,Debsconeags,maple-beech-birch,0,1,1,0,1
455,Debsconeags,spruce-fir,1,1,3,1,1
456,Debsconeags,spruce-fir,0,1,2,1,1
457,Debsconeags,maple-beech-birch,0,0,1,0,1
458,Debsconeags,spruce-fir,1,1,1,0,1
459,Debsconeags,spruce-fir,0,0,2,1,1
461,Kennebec Estuary Sites,oak-pine,0,0,,0,0
462,Kennebec Estuary Sites,spruce-fir,0,0,,0,0
463,Kennebec Estuary Sites,pine-softwood,1,1,,0,0
464,Kennebec Estuary Sites,oak-pine,1,1,,0,0
465,Kennebec Estuary Sites,aspen-birch,0,0,,0,0
466,Kennebec Estuary Sites,aspen-birch,0,0,,0,0
467,Kennebec Estuary Sites,oak-pine,1,1,,0,0
468,Kennebec Estuary Sites,spruce-fir,1,1,,0,0
469,Kennebec Estuary Sites,spruce-fir,1,1,,0,0
470,Kennebec Estuary Sites,spruce-fir,0,0,,0,0
471,Kennebec Estuary Sites,pine-softwood,0,1,,0,0
472,Kennebec Estuary Sites,oak-pine,0,0,,0,0
473,Kennebec Estuary Sites,pine-softwood,1,1,,0,0
474,Kennebec Estuary Sites,spruce-fir,0,0,,0,0
475,Kennebec Estuary Sites,spruce-fir,0,0,,0,0
476,Kennebec Estuary Sites,pine-softwood,1,1,,0,0
477,Kennebec Estuary Sites,oak-pine,1,1,,0,0
478,Kennebec Estuary Sites,spruce-fir,1,1,,0,0
480,Debsconeags,aspen-birch,1,1,1,0,1
481,Debsconeags,spruce-fir,0,0,1,0,1
484,Debsconeags,maple-beech-birch,0,0,1,0,1
486,Debsconeags,aspen-birch,0,1,2,1,1
487,Debsconeags,maple-beech-birch,0,0,1,0,1
488,Debsconeags,spruce-fir,1,1,1,0,1
489,Debsconeags,spruce-fir,0,0,1,0,1
491,Debsconeags,maple-beech-birch,1,1,2,1,1
492,Debsconeags,maple-beech-birch,0,1,3,1,1
493,Debsconeags,spruce-fir,1,1,3,1,1
494,Debsconeags,maple-beech-birch,1,1,3,1,1
495,Debsconeags,aspen-birch,0,0,2,1,1
496,Debsconeags,spruce-fir,1,1,2,1,1
497,Debsconeags,maple-beech-birch,0,1,2,1,1
498,Debsconeags,pine-softwood,0,0,1,0,1
499,Debsconeags,aspen-birch,0,0,2,1,1
500,Debsconeags,aspen-birch,1,1,2,1,1
501,Debsconeags,aspen-birch,0,0,2,1,1
502,Kennebec Estuary Sites,spruce-fir,1,1,,0,0
503,Kennebec Estuary Sites,oak-pine,1,1,,0,0
504,Kennebec Estuary Sites,oak-pine,0,0,,0,0
505,Kennebec Estuary Sites,pine-softwood,0,1,,0,0
506,Debsconeags,aspen-birch,0,0,2,1,1
507,Debsconeags,aspen-birch,0,1,3,1,1
508,Debsconeags,aspen-birch,0,0,1,0,1
512,Great Duck Island,spruce-fir,0,1,,0,0
513,Great Duck Island,spruce-fir,0,0,,0,0
514,Great Duck Island,spruce-fir,0,0,,0,0
515,Great Duck Island,spruce-fir,0,0,,0,0
516,Great Duck Island,spruce-fir,0,1,,0,0
518,Debsconeags,aspen-birch,0,0,1,0,1
519,Debsconeags,aspen-birch,0,0,1,0,1
520,Debsconeags,maple-beech-birch,1,1,1,0,1
521,Kennebec Estuary Sites,oak-pine,1,1,,0,0
522,Kennebec Estuary Sites,oak-pine,1,1,,0,0
523,Kennebec Estuary Sites,oak-pine,1,1,,0,0
524,Kennebec Estuary Sites,oak-pine,0,1,,0,0
525,Kennebec Estuary Sites,oak-pine,0,0,,0,0
526,Kennebec Estuary Sites,oak-pine,1,1,,0,0
527,Kennebec Estuary Sites,oak-pine,1,1,,0,0
528,Kennebec Estuary Sites,oak-pine,1,1,,0,0
529,Kennebec Estuary Sites,oak-pine,1,0,,0,0
530,Kennebec Estuary Sites,oak-pine,0,1,,0,0
531,Kennebec Estuary Sites,pine-softwood,1,1,,0,0
544,Trout Mountain,maple-beech-birch,1,1,2,1,1
546,Great Wass Island,spruce-fir,1,1,,0,0
547,Great Wass Island,spruce-fir,0,0,,0,0
548,Great Wass Island,pine-softwood,0,0,,0,0
549,Great Wass Island,pine-softwood,0,0,,0,0
550,Great Wass Island,spruce-fir,1,1,,0,0
551,Great Wass Island,oak-pine,0,0,,0,0
552,Great Wass Island,spruce-fir,1,1,,0,0
553,Great Wass Island,spruce-fir,0,0,,0,0
554,Great Wass Island,spruce-fir,1,1,,0,0
555,Great Wass Island,spruce-fir,0,0,,0,0
556,Trout Mountain,spruce-fir,0,1,3,1,1
557,Trout Mountain,spruce-fir,1,1,2,1,1
558,Trout Mountain,spruce-fir,1,1,2,1,1
559,Trout Mountain,spruce-fir,0,0,1,0,1
560,Trout Mountain,pine-softwood,1,1,3,1,1
561,Trout Mountain,pine-softwood,0,0,2,1,1
562,Trout Mountain,spruce-fir,0,1,3,1,1
563,Trout Mountain,spruce-fir,0,1,1,0,1
564,Trout Mountain,aspen-birch,1,1,1,0,1
565,Trout Mountain,spruce-fir,0,1,2,1,1
567,Trout Mountain,spruce-fir,1,1,1,0,1
568,Trout Mountain,spruce-fir,1,1,2,1,1
569,Kennebec Estuary Sites,oak-pine,0,0,,0,0
570,Kennebec Estuary Sites,oak-hickory,1,1,,0,0
571,Kennebec Estuary Sites,oak-pine,1,1,,0,0
572,Kennebec Estuary Sites,oak-pine,0,0,,0,0
