CN,eval_period,LAT,LON,v4_class,v5_class,silc_val,hagan_val
606237261126144,2019-2023,44.81661,-67.42427,Not LSOG,Not LSOG,,
606237263126144,2019-2023,44.66992,-67.53598,Not LSOG,Not LSOG,,
606237264126144,2019-2023,45.08628,-67.16894,Transitioning LS,Not LSOG,,
606237266126144,2019-2023,45.20147,-67.47041,Not LSOG,Not LSOG,,
606237267126144,2019-2023,45.08764,-67.28885,LS,Transitioning LS,,3
606237268126144,2019-2023,45.03469,-67.43781,Not LSOG,Not LSOG,,
606237269126144,2019-2023,44.9378,-67.31825,Not LSOG,Not LSOG,,1
606237270126144,2019-2023,44.89425,-67.3617,Not LSOG,Not LSOG,,1
606237271126144,2019-2023,44.95757,-67.45689,LS,Transitioning LS,,
606237272126144,2019-2023,44.90271,-67.53495,Not LSOG,Not LSOG,,1
606237273126144,2019-2023,44.97595,-67.59516,Not LSOG,Not LSOG,,1
606237274126144,2019-2023,44.87733,-67.59722,Not LSOG,Not LSOG,,
606237275126144,2019-2023,44.74144,-67.50243,Transitioning LS,Transitioning LS,,
606237276126144,2019-2023,44.59422,-67.60013,Not LSOG,Not LSOG,,
606237277126144,2019-2023,44.64004,-67.71678,Transitioning LS,Not LSOG,,
606237278126144,2019-2023,44.70192,-67.72064,Not LSOG,Not LSOG,,
606237279126144,2019-2023,44.79063,-67.82123,Not LSOG,Not LSOG,,1
606237281126144,2019-2023,44.63426,-67.78206,Transitioning LS,Transitioning LS,,
606237284126144,2019-2023,44.48842,-67.89922,Not LSOG,Not LSOG,,
606237285126144,2019-2023,44.59003,-68.02241,Not LSOG,Not LSOG,,2
606237287126144,2019-2023,45.3713,-67.52713,Not LSOG,Not LSOG,,1
606237288126144,2019-2023,45.30206,-67.5947,Not LSOG,Not LSOG,,
606237289126144,2019-2023,45.1367,-67.53475,Not LSOG,Not LSOG,,
606237290126144,2019-2023,45.06146,-67.59299,Not LSOG,Not LSOG,,
606237291126144,2019-2023,45.233549,-67.680593,Not LSOG,Not LSOG,,
606237293126144,2019-2023,45.11164,-67.76797,Not LSOG,Not LSOG,,1
606237294126144,2019-2023,44.92661,-67.68635,Not LSOG,Not LSOG,,
606237295126144,2019-2023,44.87458,-67.79359,Not LSOG,Not LSOG,,1
606237296126144,2019-2023,45.1077,-67.92661,Not LSOG,Not LSOG,,1
606237297126144,2019-2023,44.88765,-67.97553,Not LSOG,Not LSOG,,1
606237298126144,2019-2023,44.72209,-67.8981,Not LSOG,Not LSOG,,1
606237299126144,2019-2023,44.6484,-67.94928,Not LSOG,Not LSOG,,
606237301126144,2019-2023,44.75522,-68.07263,Transitioning LS,Transitioning LS,,1
606237302126144,2019-2023,44.67243,-68.13577,Not LSOG,Not LSOG,,1
606237303126144,2019-2023,44.49739,-68.06573,Transitioning LS,Not LSOG,,
606237304126144,2019-2023,44.33788,-68.36566,LS,LS,,
606237305126144,2019-2023,44.53344,-68.25439,Not LSOG,Not LSOG,,
606237306126144,2019-2023,44.47307,-68.30146,Transitioning LS,Transitioning LS,,
606237307126144,2019-2023,44.31384,-68.24276,LS,LS,,
606237308126144,2019-2023,44.23277,-68.31645,Not LSOG,Not LSOG,,
606237311126144,2019-2023,44.05251,-68.65305,Not LSOG,Not LSOG,,
606237312126144,2019-2023,45.5422,-67.58145,Not LSOG,Not LSOG,,1
606237313126144,2019-2023,45.62286,-67.70094,Not LSOG,Not LSOG,,2
606237314126144,2019-2023,45.57463,-67.75595,Not LSOG,Not LSOG,,1
606237315126144,2019-2023,45.5126,-67.64817,Not LSOG,Not LSOG,,2
606237316126144,2019-2023,45.46467,-67.65426,Not LSOG,Not LSOG,,1
606237317126144,2019-2023,45.39769,-67.70963,Not LSOG,Not LSOG,,1
606237319126144,2019-2023,45.36693,-67.86655,Not LSOG,Not LSOG,,1
606237320126144,2019-2023,45.4085,-67.8984,Not LSOG,Not LSOG,,1
606237321126144,2019-2023,45.34848,-67.93686,Not LSOG,Not LSOG,,1
606237322126144,2019-2023,45.25432,-67.82581,Transitioning LS,Not LSOG,,1
606237323126144,2019-2023,45.19106,-67.881,Not LSOG,Not LSOG,,1
606237325126144,2019-2023,44.96406,-67.89265,Not LSOG,Not LSOG,,1
606237326126144,2019-2023,45.19825,-68.08475,Not LSOG,Not LSOG,,
606237327126144,2019-2023,45.13729,-68.12206,Not LSOG,Not LSOG,,2
606237328126144,2019-2023,45.09627,-68.00227,Not LSOG,Not LSOG,,3
606237329126144,2019-2023,45.0503,-68.00425,Transitioning LS,Not LSOG,,3
606237330126144,2019-2023,44.97263,-68.06596,Not LSOG,Not LSOG,,1
606237331126144,2019-2023,45.07582,-68.18345,Not LSOG,Not LSOG,,1
606237332126144,2019-2023,44.85355,-68.18763,Not LSOG,Not LSOG,,2
606237333126144,2019-2023,44.99897,-68.24815,Not LSOG,Not LSOG,,1
606237334126144,2019-2023,44.95112,-68.27733,Transitioning LS,Not LSOG,,2
606237335126144,2019-2023,44.91783,-68.12008,Not LSOG,Not LSOG,,1
606237336126144,2019-2023,44.78709,-68.27666,Not LSOG,Not LSOG,,2
606237337126144,2019-2023,44.88963,-68.34915,Not LSOG,Not LSOG,,
606237338126144,2019-2023,44.70615,-68.29887,Not LSOG,Not LSOG,,
606237339126144,2019-2023,44.79647,-68.41937,LS,Transitioning LS,,
606237340126144,2019-2023,44.73033,-68.47001,Not LSOG,Not LSOG,,
606237341126144,2019-2023,44.67178,-68.36026,Not LSOG,Not LSOG,,
606237342126144,2019-2023,44.63132,-68.33485,Not LSOG,Not LSOG,,1
606237343126144,2019-2023,44.5636,-68.42448,Transitioning LS,Transitioning LS,,
606237345126144,2019-2023,44.38638,-68.77107,Not LSOG,Not LSOG,,
606237347126144,2019-2023,44.5186,-68.64644,Transitioning LS,Not LSOG,,
606237348126144,2019-2023,44.42647,-68.56209,LS,Transitioning LS,,
606237349126144,2019-2023,44.35167,-68.59968,Transitioning LS,Not LSOG,,
606237350126144,2019-2023,44.43527,-68.66147,Not LSOG,Not LSOG,,
606237353126144,2019-2023,44.22442,-68.69366,Transitioning LS,Not LSOG,,
606237354126144,2019-2023,44.08043,-68.82491,Not LSOG,Not LSOG,,
606237355126144,2019-2023,45.88243,-67.99577,Not LSOG,Not LSOG,,1
606237356126144,2019-2023,45.65081,-67.88312,Not LSOG,Not LSOG,,
606237357126144,2019-2023,45.55615,-67.85714,Not LSOG,Not LSOG,,1
606237358126144,2019-2023,45.60064,-68.13275,Transitioning LS,Not LSOG,,1
606237359126144,2019-2023,45.44996,-68.05625,Not LSOG,Not LSOG,,1
606237360126144,2019-2023,45.37311,-68.12139,Not LSOG,Not LSOG,,1
606237361126144,2019-2023,45.4375,-68.29281,Not LSOG,Not LSOG,,
606237362126144,2019-2023,45.24056,-68.23477,Not LSOG,Not LSOG,,1
606237363126144,2019-2023,45.3375,-68.12356,Transitioning LS,Not LSOG,,1
606237364126144,2019-2023,45.18975,-68.48159,Not LSOG,Not LSOG,,
606237365126144,2019-2023,45.01208,-68.42725,Not LSOG,Not LSOG,,1
606237366126144,2019-2023,44.93999,-68.47616,Not LSOG,Not LSOG,,1
606237367126144,2019-2023,45.03093,-68.65941,Not LSOG,Not LSOG,,
606237368126144,2019-2023,44.82447,-68.59932,Not LSOG,Not LSOG,,
606237371126144,2019-2023,44.77232,-68.84506,Not LSOG,Not LSOG,,
606237372126144,2019-2023,44.60918,-68.78236,Transitioning LS,Transitioning LS,,
606237373126144,2019-2023,44.54139,-68.80749,Transitioning LS,Transitioning LS,,
606237376126144,2019-2023,44.35503,-69.16473,Not LSOG,Not LSOG,,
606237377126144,2019-2023,44.12189,-69.28764,LS,Transitioning LS,,
606237378126144,2019-2023,44.17277,-69.17372,Not LSOG,Not LSOG,,
606237379126144,2019-2023,44.14014,-69.35554,Not LSOG,Not LSOG,,
606237380126144,2019-2023,43.971,-69.30389,Not LSOG,Not LSOG,,
606237381126144,2019-2023,44.00512,-69.58592,Not LSOG,Not LSOG,,
606237382126144,2019-2023,46.18789,-67.81133,Not LSOG,Not LSOG,,
606237383126144,2019-2023,46.26662,-67.93396,Transitioning LS,Not LSOG,,1
606237384126144,2019-2023,46.11585,-67.87589,Not LSOG,Not LSOG,,
606237385126144,2019-2023,46.04712,-67.91838,Not LSOG,Not LSOG,,
606237386126144,2019-2023,45.94891,-67.81113,Not LSOG,Not LSOG,,
606237387126144,2019-2023,45.89297,-67.87575,Not LSOG,Not LSOG,,
606237388126144,2019-2023,45.97559,-67.97933,Not LSOG,Not LSOG,,1
606237389126144,2019-2023,46.09703,-68.11337,Not LSOG,Not LSOG,,
606237390126144,2019-2023,45.9265,-67.99792,Not LSOG,Not LSOG,,1
606237391126144,2019-2023,45.90468,-68.07095,Not LSOG,Not LSOG,,1
606237392126144,2019-2023,45.83179,-68.09863,Not LSOG,Not LSOG,,1
606237393126144,2019-2023,45.73827,-67.98425,Not LSOG,Not LSOG,,1
606237394126144,2019-2023,45.76459,-68.19303,Transitioning LS,Transitioning LS,,1
606237395126144,2019-2023,45.6769,-68.04535,Not LSOG,Not LSOG,,1
606237396126144,2019-2023,45.865,-68.28712,LS,Transitioning LS,,2
606237397126144,2019-2023,45.71847,-68.21529,Transitioning LS,Not LSOG,,1
606237398126144,2019-2023,45.63567,-68.29952,Not LSOG,Not LSOG,,1
606237399126144,2019-2023,45.54282,-68.17694,Not LSOG,Not LSOG,,1
606237400126144,2019-2023,45.46874,-68.23752,Not LSOG,Not LSOG,,1
606237401126144,2019-2023,45.56144,-68.34312,Transitioning LS,Not LSOG,,
606237402126144,2019-2023,45.67554,-68.46871,Not LSOG,Not LSOG,,1
606237403126144,2019-2023,45.51379,-68.35824,Not LSOG,Not LSOG,,
606237404126144,2019-2023,45.49741,-68.42309,Transitioning LS,Transitioning LS,,
606237405126144,2019-2023,45.42558,-68.49297,Not LSOG,Not LSOG,,
606237406126144,2019-2023,45.32794,-68.35854,Transitioning LS,Transitioning LS,,
606237407126144,2019-2023,45.25995,-68.41762,Not LSOG,Not LSOG,,
606237408126144,2019-2023,45.34899,-68.53106,Not LSOG,Not LSOG,,
606237409126144,2019-2023,45.43654,-68.65379,Not LSOG,Not LSOG,,
606237410126144,2019-2023,45.28132,-68.62187,Not LSOG,Not LSOG,,
606237411126144,2019-2023,45.21192,-68.65362,Not LSOG,Not LSOG,,
606237412126144,2019-2023,45.1271,-68.53389,Not LSOG,Not LSOG,,1
606237413126144,2019-2023,45.05211,-68.61022,Transitioning LS,Not LSOG,,
606237414126144,2019-2023,45.16997,-68.72078,Not LSOG,Not LSOG,,
606237415126144,2019-2023,45.23916,-68.80495,Not LSOG,Not LSOG,,
606237416126144,2019-2023,45.10166,-68.72112,Transitioning LS,Transitioning LS,,
